Bx_1,Bx_2,Bx_3,Bx_4,By_1,By_2,By_3,By_4
5.4297,5.54639687496441,5.66309374992883,5.2275,4.6494,3.53567589677162,2.42195179354324,1.9055
5.2275,4.79190625007117,3.8040218752491,2.9865,1.9055,1.38904820645676,1.46986872259864,1.7429
2.9865,2.1689781247509,1.52181874907476,1.4532,1.7429,2.01593127740135,2.48117331606218,3.8974
1.4532,1.38458125092524,1.89450312845186,2.1778,3.8974,5.31362668393782,7.68083801315265,8.003
2.1778,2.46109687154814,2.5177687371178,3.2898,8.003,8.32516198684735,6.60227463132722,6.7429
3.2898,4.0618312628822,5.54922192307692,6.8113,6.7429,6.88352536867278,8.88766346153846,9.1209
6.8113,8.07337807692308,9.1101435705745,9.0691,9.1209,9.35413653846154,7.81647152251893,7.2917
9.0691,9.0280564294255,7.90920379462506,7.2999,7.2917,6.76692847748107,7.25505044838581,6.438
7.2999,6.69059620537494,6.59084125092524,7.2157,6.438,5.62094955161419,3.49872668393782,2.8404
7.2157,7.84055874907476,9.19003120167397,9.2713,2.8404,2.18207331606218,2.98764281586289,2.7795
9.2713,9.35256879832603,8.16563394237886,7.4853,2.7795,2.57135718413711,1.3495020526106,0.9502
7.4853,6.80496605762113,6.63123302881057,6.4575,0.9502,0.550897947389398,0.974148973694699,1.3974
